Phase,Work item,Type,Tier,Start,End,Days,Deliverable,Gate / acceptance,Status
0. Inception,"Idea definition — the problem, two governing principles, three-phase release plan",Phase,Done,2026-07-31,2026-08-07,8,product-definition.md §0-§2,Two governing principles stated and defended,Complete
0. Inception,"Specification — classify every capability by what it depends on, and define done",Phase,Done,2026-08-07,2026-08-14,8,"product-definition.md §3-§12 — 109 capabilities, 9 acceptance criteria",Every capability classified by dependency,Complete
0. Inception,Review 1 — not held,Review,—,2026-08-14,2026-08-14,1,—,Midterm preparation,Not held
0. Inception,Midterm examinations — no project work,Break,—,2026-08-17,2026-08-21,5,—,—,Complete
1. R&D,Empirical survey — read two production repositories at pinned revisions rather than assume,Phase,Done,2026-08-24,2026-08-24,1,"survey-test-subjects.md — parser surface, contract placement, image inventory, every claim at file:line",O-4 and O-5 answered on evidence,Complete
1. R&D,"Stack selection — choose the engine language and its four libraries on measured requirements",Phase,Done,2026-08-24,2026-08-24,1,"stack-decision.md — Go, the decision's reasoning, three rejected alternatives, accepted costs","O-2, O-3 closed; alternatives documented",Complete
1. R&D,"Delivery planning — scope tiers, sprint structure, objective gates",Phase,Done,2026-08-24,2026-08-24,1,delivery-schedule.md + schedule.csv,Schedule agreed with supervisor,Complete
2. Week 0,Repository scaffolding — packages drawn on architectural seams rather than spec chapters,Task,Committed,2026-08-25,2026-08-25,1,"Six Go packages behind cmd/ and internal/, each justified by a boundary",Six packages each justified by a seam,Complete
2. Week 0,Context system — keep an AI-assisted session oriented without loading every document,Task,Committed,2026-08-25,2026-08-25,1,"CLAUDE.md, PROGRESS.md, NOTES.md, decision log, /checkpoint command","420 lines pointing at 3,900 — token discipline",Complete
2. Week 0,"Install Go 1.27, initialise the module",Task,Committed,2026-08-26,2026-08-26,1,go.mod at github.com/cruzambrociogl/archdoc,go build runs,Complete
2. Week 0,"CLI entry point, first tests, CI pipeline",Task,Committed,2026-08-26,2026-08-26,1,archdoc version + CI on every push and pull request,gofmt / vet / build / test -race green,Complete
2. Week 0,Network boundary — make the egress rule a build check instead of a code-review habit,Task,Committed,2026-08-26,2026-08-26,1,CI job failing any package outside internal/semantic that imports net/http,AC-8 made testable rather than audited,Complete
2. Week 0,O-8 spike — does file-and-line provenance survive the Compose merge?,Task,Committed,2026-08-26,2026-08-26,1,"Answer plus the design it forces: compose-go for meaning, yaml.v3 for position",Answered NO — extraction is two passes,Complete
2. Week 0,O-7 — pick test subject #3 to cover what Immich and Supabase leave untested,Task,Committed,2026-08-26,2026-08-26,1,"Mastodon pinned at 47ac677 — declared networks and real external dependencies","Closed — chosen on measured coverage gaps",Complete
2. Week 0,Walking skeleton — find the right Compose file and extract its services with proof,Task,Stretch,2026-08-27,2026-08-27,1,archdoc scan with --explain and --json,"Immich 4/10, Supabase 11/15; 5 runs byte-identical",Complete
2. Week 0,Review preparation,Task,Committed,2026-08-27,2026-08-27,1,Demo sequence and talking points,—,In progress
